pelr0123,item,no.required,not incl vat,incl VAT,,Ordered?,Received?,,,,
,"RS PRO Pozi Countersunk Steel Machine Screws DIN 965, M4x10mm RS Stock No. 908-7517 Brand RS PRO ",8,£0.03,,,,,,Rsonline,https://uk.rs-online.com/web/p/products/9087517/,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,620PCS Male Jumper Pin Dupont Pin Crimp Wire Housing Kit Header Female Connector,1,,£7.99,,,,,Ebay,https://www.ebay.co.uk/itm/135127859074,
,JST ZH 1.5mm 4-Pin Connector PCB Socket Wire Cable UK Seller (for FTr10 receiver),1,,£4.79,,,,,Ebay,https://www.ebay.co.uk/itm/256210188764,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,ADS1115 16-Bit ADC - 4 Channel with Programmable Gain Amplifier - STEMMA QT / Qwiic,2,£11.17,,,,,,Digikey,https://www.digikey.co.uk/en/products/detail/adafruit-industries-llc/1085/5761229,
,ADS1115 16-Bit ADC - 4 Channel with Programmable Gain Amplifier - STEMMA QT / Qwiic,2,,£14.70,,,,,PiHut,https://thepihut.com/products/adafruit-ads1115-16-bit-adc-4-channel-with-programmable-gain-amplifier,
,"TMCS1123B4AQDVGR,  Current – Sensing -15.5A ~ 32.5A",4,£4.33,,,,,,Digikey,https://www.digikey.co.uk/en/products/detail/texas-instruments/TMCS1123B4AQDVGR/22168033,
,,,,,,,,,,,
,"4mm 41 Amp 12v 240v Tri Rated Cable Auto Wire, Car Automotive Marine Solar Loom ",0,,£2.1,,,,,Ebay,https://www.ebay.co.uk/itm/262625356779?var=561522892833,
,4mm2 /#12 AWG AUTOMOTIVE CABLE 39.00AMP - - 4mm2 Automotive cable:4mm2 Automotive cable RED/ per 1 mtr,10,£0.99,,,,,,altecautomotive.co.uk,https://www.altecautomotive.co.uk/4mm2-12-awg--automotive-cable-3900amp---1196-p.asp,
,4mm2 /#12 AWG AUTOMOTIVE CABLE 39.00AMP - - 4mm2 Automotive cable:4mm2 Automotive cable YELLOW/GREEN/ per 1 mtr,5,£0.99,,,,,,altecautomotive.co.uk,https://www.altecautomotive.co.uk/4mm2-12-awg--automotive-cable-3900amp---1196-p.asp,
,Unplated bare pure Copper Round Wire 2.64mm Jewelry Making / Wire Craft,1,£4.99,,,,,,Ebay,https://www.ebay.co.uk/itm/121692963953?_skw=BV+Wire+Pure+Copper+Single+Core+4mm2&var=420695391290,
,,,,,,,,,,,
,"50 AMP 6mm² Single Core Stranded Copper Cable 12v 24v Thin Wall Wire RED BLACK, 10m",10,,£14.95,,,,,Ebay,https://www.ebay.co.uk/itm/143254639548,
,"50 AMP 6mm² Single Core Stranded Copper Cable 12v 24v Thin Wall Wire RED RED, 10m",10,,£14.95,,,,,Ebay,https://www.ebay.co.uk/itm/143254639548,
,,,,,,,,,,,
,,,,,,,,,,,
,6 Way Fuse Box,0,,,,,,,,https://www.vehiclewiringproducts.co.uk/p-353-6-way-fuse-box,
